"Ticker","Company","2016","2015","2014","2013","2012","2011","2010","2009","2008"
"A","Agilent Technologies Inc.","X","X","X","X","X","X","X","X","X"
"AA","Alcoa Inc.","X","X","X","X","X","X","X","X","X"
"AAL","American Airlines Group","X","","","","","","","",""
"AAP","Advance Auto Parts Inc","X","","","","","","","",""
"AAPL","Apple Inc.","X","X","X","X","X","X","X","X","X"
"ABBV","AbbVie Inc.","X","X","X","X","","","","",""
"ABC","AmerisourceBergen Corp.","X","X","X","X","X","X","X","X","X"
"ABI","Applied Biosystems Inc.","","","","","","","","","X"
"ABK","Ambac Financial Group Inc.","","","","","","","","","X"
"ABT","Abbott Laboratories","X","X","X","X","X","X","X","X","X"
"ACAS","American Capital Ltd.","","","","","","","","X","X"
"ACE","ACE Limited","X","X","X","X","X","X","","","X"
"ACN","Accenture plc","X","X","X","X","X","","","",""
"ACS","ACS Inc.","","","","","","","X","X","X"
"ADBE","Adobe Systems Inc.","X","X","X","X","X","X","X","X","X"
"ADI","Analog Devices Inc.","X","X","X","X","X","X","X","X","X"
"ADM","Archer-Daniels-Midland Co.","X","X","X","X","X","X","X","X","X"
"ADP","ADP, LLC.","X","X","X","X","X","X","X","X","X"
"ADS","Alliance Data Systems Corp.","X","X","X","","","","","",""
"ADSK","Autodesk Inc.","X","X","X","X","X","X","X","X","X"
"ADT","ADT Corp.","X","X","X","X","","","","",""
"AEE","Ameren Corp.","X","X","X","X","X","X","X","X","X"
"AEP","American Electric Power","X","X","X","X","X","X","X","X","X"
"AES","AES Corp.","X","X","X","X","X","X","X","X","X"
"AET","Aetna Inc.","X","X","X","X","X","X","X","X","X"
"AFL","AFLAC Inc.","X","X","X","X","X","X","X","X","X"
"AGN","Allergan, Plc","X","X","X","X","X","X","X","X","X"
"AGN (Old)","Allergan Inc. (Old)","","X","X","X","X","X","X","X","X"
"AIG","AIG, Inc.","X","X","X","X","X","X","X","X","X"
"AIV","Aimco","X","X","X","X","X","X","X","X","X"
"AIZ","Assurant Inc.","X","X","X","X","X","X","X","X","X"
"AKAM","Akamai Technologies Inc.","X","X","X","X","X","X","X","X","X"
"AKS","AK Steel Holding Corp.","","","","","","X","X","X",""
"ALL","Allstate Corp.","X","X","X","X","X","X","X","X","X"
"ALLE","Allegion","X","X","X","","","","","",""
"ALTR","Altera Corp.","","X","X","X","X","X","X","X","X"
"ALXN","Alexion Pharmaceuticals","X","X","X","X","","","","",""
"AMAT","Applied Materials Inc.","X","X","X","X","X","X","X","X","X"
"AMD","Advanced Micro Devices","","","","X","X","X","X","X","X"
"AME","Ametek","X","X","X","","","","","",""
"AMG","Affiliated Managers Group","X","X","","","","","","",""
"AMGN","Amgen Inc.","X","X","X","X","X","X","X","X","X"
"AMP","Ameriprise Financial","X","X","X","X","X","X","X","X","X"
"AMT","American Tower Corp.","X","X","X","X","X","X","X","X","X"
"AMZN","Amazon.com Inc.","X","X","X","X","X","X","X","X","X"
"AN","AutoNation Inc.","X","X","X","X","X","X","X","X","X"
"ANF","Abercrombie & Fitch","","","","X","X","X","X","X","X"
"ANR","Alpha Natural Resources","","","","","X","","","",""
"ANTM","Anthem Inc.","X","X","X","X","X","X","X","X","X"
"AON","Aon plc","X","X","X","X","X","X","X","X","X"
"APA","Apache Corporation","X","X","X","X","X","X","X","X","X"
"APC","Anadarko Petroleum Corp.","X","X","X","X","X","X","X","X","X"
"APD","Air Products & Chemicals","X","X","X","X","X","X","X","X","X"
"APH","Amphenol Corp.","X","X","X","X","X","X","X","X",""
"APOL","Apollo Group Inc.","","","","X","X","X","X","X","X"
"ARG","Airgas Inc.","X","X","X","X","X","X","X","",""
"ASH","Ashland Inc.","","","","","","","","","X"
"ATI","Allegheny Technologies Inc.","","X","X","X","X","X","X","X","X"
"ATVI","Activision Blizzard Inc","X","","","","","","","",""
"AW","Allied Waste Industries Inc.","","","","","","","","","X"
"AVB","AvalonBay Communities","X","X","X","X","X","X","X","X","X"
"AVGO","Avago Technologies","X","X","","","","","","",""
"AVP","Avon Products","","X","X","X","X","X","X","X","X"
"AVY","Avery Dennison Corp","X","X","X","X","X","X","X","X","X"
"AXP","American Express Co","X","X","X","X","X","X","X","X","X"
"AYE","Allegheny Energy Inc.","","","","","","X","X","X","X"
"AZO","AutoZone Inc","X","X","X","X","X","X","X","X","X"
"BA","Boeing Co.","X","X","X","X","X","X","X","X","X"
"BAC","Bank of America Corp.","X","X","X","X","X","X","X","X","X"
"BAX","Baxter International Inc.","X","X","X","X","X","X","X","X","X"
"BBBY","Bed Bath & Beyond","X","X","X","X","X","X","X","X","X"
"BBT","BB&T Corp.","X","X","X","X","X","X","X","X","X"
"BBY","Best Buy Co. Inc.","X","X","X","X","X","X","X","X","X"
"BC","Brunswick Corp.","","","","","","","","","X"
"BCR","C. R. Bard, Inc","X","X","X","X","X","X","X","X","X"
"BDK","Black & Decker","","","","","","","X","X","X"
"BDX","Becton Dickinson","X","X","X","X","X","X","X","X","X"
"BEAM","Beam Inc.","","","X","X","X","X","X","X","X"
"BEN","Franklin Resources","X","X","X","X","X","X","X","X","X"
"BF-B","Brown-Forman Corp.","X","X","X","X","X","X","X","X","X"
"BHI","Baker Hughes Inc","X","X","X","X","X","X","X","X","X"
"BIG","Big Lots Inc.","","","","X","X","X","X","X","X"
"BIIB","Biogen Idec, Inc.","X","X","X","X","X","X","X","X","X"
"BJS","BJ Services Co.","","","","","","","X","X","X"
"BK","BNY Mellon","X","X","X","X","X","X","X","X","X"
"BLK","BlackRock","X","X","X","X","X","","","",""
"BLL","Ball Corp","X","X","X","X","X","X","X","X","X"
"BMC","BMC Software","","","","X","X","X","X","X","X"
"BMS","Bemis","","","X","X","X","X","X","X","X"
"BMY","Bristol-Myers Squibb","X","X","X","X","X","X","X","X","X"
"BNI","Burlington Northern","","","","","","","X","X","X"
"BRCM","Broadcom Corp.","X","X","X","X","X","X","X","X","X"
"BRK.B","Berkshire Hathaway","X","X","X","X","X","X","","",""
"BRL","Barr Pharmaceuticals Inc.","","","","","","","","","X"
"BSC","Bear Stearns Inc.","","","","","","","","","X"
"BSX","Boston Scientific","X","X","X","X","X","X","X","X","X"
"BTU","Peabody Energy","","","X","X","X","X","X","X","X"
"BUD","Anheuser-Busch Inc.","","","","","","","","","X"
"BWA","BorgWarner Inc","X","X","X","X","X","","","",""
"BXLT","Baxalta","X","","","","","","","",""
"BXP","Boston Properties","X","X","X","X","X","X","X","X","X"
"C","Citigroup Inc.","X","X","X","X","X","X","X","X","X"
"CA","CA, Inc.","X","X","X","X","X","X","X","X","X"
"CAG","ConAgra Foods Inc.","X","X","X","X","X","X","X","X","X"
"CAH","Cardinal Health Inc.","X","X","X","X","X","X","X","X","X"
"CAM","Cameron Int'l Corp.","X","X","X","X","X","X","X","X",""
"CAT","Caterpillar Inc.","X","X","X","X","X","X","X","X","X"
"CB","Chubb Corp.","X","X","X","X","X","X","X","X","X"
"CBE","Cooper Industries","","","","","X","","","X","X"
"CBG","CBRE Group","X","X","X","X","X","X","X","X","X"
"CBH","Commerce Bancorp","","","","","","","","","X"
"CBS","CBS Corp.","X","X","X","X","X","X","X","X","X"
"CC","Circuit City Stores Inc.","","","","","","","","","X"
"CCE","Coca-Cola Enterprises","X","X","X","X","X","X","X","X","X"
"CCI","Crown Castle Int'l Corp.","X","X","X","X","","","","",""
"CCL","Carnival Corp.","X","X","X","X","X","X","X","X","X"
"CEG","Constellation Energy Group","","","","","X","X","X","X","X"
"CELG","Celgene Corp.","X","X","X","X","X","X","X","X","X"
"CEPH","Cephalon Inc.","","","","","","X","X","X",""
"CERN","Cerner","X","X","X","X","X","X","","",""
"CF","CF Industries Holdings Inc.","X","X","X","X","X","X","X","X",""
"CFC","Countrywide Financial Corp.","","","","","","","","","X"
"CFN","Carefusion","","X","X","X","X","X","X","",""
"CHD","Church & Dwight Co","X","","","","","","","",""
"CHK","Chesapeake Energy","X","X","X","X","X","X","X","X","X"
"CHRW","C. H. Robinson Worldwide","X","X","X","X","X","X","X","X","X"
