,col1,col2,col3,col4,col5,Q
1983-12-30,-0.30045664052,-0.0291356594575,0.039325704768,-0.0428445795256,Sell,0.0815927511523
1983-12-30,-0.30045664052,-0.0291356594575,0.039325704768,-0.0428445795256,Hold,0.0816330864667
1983-12-30,-0.30045664052,-0.0291356594575,0.039325704768,-0.0428445795256,Buy,0.0860508454602
1984-01-03,-0.300327691044,-0.0283491412635,0.0399372506131,-0.0321793926981,Sell,0.0516722741641
1984-01-03,-0.300327691044,-0.0283491412635,0.0399372506131,-0.0321793926981,Hold,0.0769803536537
1984-01-03,-0.300327691044,-0.0283491412635,0.0399372506131,-0.0321793926981,Buy,0.0982615971339
1984-01-04,-0.298599766983,-0.0330485720547,0.0523959035775,-0.0380548207593,Buy,0.0628134800608
1984-01-04,-0.298599766983,-0.0330485720547,0.0523959035775,-0.0380548207593,Sell,0.0322068521075
1984-01-04,-0.298599766983,-0.0330485720547,0.0523959035775,-0.0380548207593,Hold,0.0524435271447
1984-01-05,-0.296577939636,-0.036492276658,0.0625115961697,-0.0350511916911,Sell,0.0396837979113
1984-01-05,-0.296577939636,-0.036492276658,0.0625115961697,-0.0350511916911,Hold,0.0332638697618
1984-01-05,-0.296577939636,-0.036492276658,0.0625115961697,-0.0350511916911,Buy,0.0305210168982
1984-01-06,-0.297007064465,-0.036466272175,0.058274011876,-0.0441326766786,Sell,0.0447030882012
1984-01-06,-0.297007064465,-0.036466272175,0.058274011876,-0.0441326766786,Buy,0.0518677543496
1984-01-06,-0.297007064465,-0.036466272175,0.058274011876,-0.0441326766786,Hold,0.0463557062266
1984-01-09,-0.296830158408,-0.0368626404491,0.0590683520233,-0.0427797210894,Buy,0.0578457409625
1984-01-09,-0.296830158408,-0.0368626404491,0.0590683520233,-0.0427797210894,Sell,0.0348510169012
1984-01-09,-0.296830158408,-0.0368626404491,0.0590683520233,-0.0427797210894,Hold,0.0485056173558
1984-01-10,-0.29594188955,-0.0393982211959,0.0646273991264,-0.0473283037846,Sell,0.0214233194029
1984-01-10,-0.29594188955,-0.0393982211959,0.0646273991264,-0.0473283037846,Hold,0.0377818320673
1984-01-10,-0.29594188955,-0.0393982211959,0.0646273991264,-0.0473283037846,Buy,0.0461509625098
1984-01-11,-0.294810977014,-0.0409530626118,0.0720938479758,-0.0317362616396,Sell,0.0166401498114
1984-01-11,-0.294810977014,-0.0409530626118,0.0720938479758,-0.0317362616396,Buy,0.0298348573009
1984-01-11,-0.294810977014,-0.0409530626118,0.0720938479758,-0.0317362616396,Hold,0.0255970086234
1984-01-12,-0.294047016941,-0.0430934151805,0.0747326624176,-0.037873313744,Buy,0.0223472135259
1984-01-12,-0.294047016941,-0.0430934151805,0.0747326624176,-0.037873313744,Sell,0.0199535561128
1984-01-12,-0.294047016941,-0.0430934151805,0.0747326624176,-0.037873313744,Hold,0.0217875737051
1984-01-13,-0.293152632688,-0.0428788859203,0.0770328088294,-0.0198563679397,Hold,0.015610513879
1984-01-13,-0.293152632688,-0.0428788859203,0.0770328088294,-0.0198563679397,Buy,0.0121449769703
1984-01-13,-0.293152632688,-0.0428788859203,0.0770328088294,-0.0198563679397,Sell,0.0247270509966
1984-01-16,-0.294187618136,-0.0444411019724,0.0716659764658,-0.0496308864386,Sell,0.0275443860374
1984-01-16,-0.294187618136,-0.0444411019724,0.0716659764658,-0.0496308864386,Buy,0.0128058797521
1984-01-16,-0.294187618136,-0.0444411019724,0.0716659764658,-0.0496308864386,Hold,0.0226582319194
1984-01-17,-0.295073201017,-0.0424305564994,0.0657528555994,-0.0476451645803,Buy,0.0354121880169
1984-01-17,-0.295073201017,-0.0424305564994,0.0657528555994,-0.0476451645803,Sell,0.0146102696487
1984-01-17,-0.295073201017,-0.0424305564994,0.0657528555994,-0.0476451645803,Hold,0.021469064011
1984-01-18,-0.293086798638,-0.0394574924801,0.077725800195,0.026984955036,Buy,0.016441901334
1984-01-18,-0.293086798638,-0.0394574924801,0.077725800195,0.026984955036,Hold,0.0170939864069
1984-01-18,-0.293086798638,-0.0394574924801,0.077725800195,0.026984955036,Sell,0.0192124621515
1984-01-19,-0.293878213944,-0.0446729180433,0.0737018819666,-0.0409415401167,Hold,0.0203512755564
1984-01-19,-0.293878213944,-0.0446729180433,0.0737018819666,-0.0409415401167,Sell,0.0221924988551
1984-01-19,-0.293878213944,-0.0446729180433,0.0737018819666,-0.0409415401167,Buy,0.0169153050538
1984-01-20,-0.294309009614,-0.0442421023468,0.0708334948454,-0.0455984664665,Hold,0.0193611448245
1984-01-20,-0.294309009614,-0.0442421023468,0.0708334948454,-0.0455984664665,Sell,0.0148662138477
1984-01-20,-0.294309009614,-0.0442421023468,0.0708334948454,-0.0455984664665,Buy,0.0310447410953
1984-01-23,-0.293672678698,-0.0453470841,0.075356448454,-0.0408908809091,Sell,0.00649762197548
1984-01-23,-0.293672678698,-0.0453470841,0.075356448454,-0.0408908809091,Buy,0.0220901414897
1984-01-23,-0.293672678698,-0.0453470841,0.075356448454,-0.0408908809091,Hold,0.0160531641294
1984-01-24,-0.292939267608,-0.0467898350278,0.0796205403575,-0.0380771009229,Buy,0.0116187936887
1984-01-24,-0.292939267608,-0.0467898350278,0.0796205403575,-0.0380771009229,Hold,0.00897132625843
1984-01-24,-0.292939267608,-0.0467898350278,0.0796205403575,-0.0380771009229,Sell,0.00365203493879
1984-01-25,-0.29211291422,-0.0485213784404,0.0825368067979,-0.0411365112863,Buy,-0.00511418467879
1984-01-25,-0.29211291422,-0.0485213784404,0.0825368067979,-0.0411365112863,Sell,0.0084389526142
