,Open,High,Low,Close,Volume,Adj Close
1983-12-30,2.602623,2.63219813769,2.57304809892,44.000008,3575624.16531,2.602623
1984-01-03,2.5989259747,2.61740932668,2.58043984265,44.000008,6517272.41479,2.602623
1984-01-04,2.65253173853,2.713529,2.6174098142,45.874979,4945011.22247,2.713529
1984-01-05,2.76898383675,2.802256,2.73571167351,47.375008,5817362.95785,2.802256
1984-01-06,2.772681,2.80225590026,2.74310615889,46.875014,3286531.23875,2.772681
1984-01-09,2.780073,2.80225615879,2.75789244384,46.999979,3656772.8465,2.780073
1984-01-10,2.82073945135,2.85401161298,2.78746728972,47.875006,2419252.19358,2.831831
1984-01-11,2.83183119615,2.89837552401,2.80225605762,48.874994,6725216.32387,2.890981
1984-01-12,2.89098086288,2.93534457412,2.87619483223,49.374992,5036304.77101,2.920556
1984-01-13,2.95013132855,2.97231442955,2.92795071187,49.625008,9996530.98031,2.935345
1984-01-16,2.92055632806,2.93534490384,2.90577,49.125014,1754845.17123,2.90577
1984-01-17,2.90577000419,2.90577000419,2.83922567192,48.249992,2267097.66014,2.854012
1984-01-18,2.89467812471,2.92795028706,2.86140596235,49.374992,22868779.6702,2.920556
1984-01-19,2.920556,2.93534457412,2.9057696736,49.374992,4143666.66457,2.920556
1984-01-20,2.92055661816,2.92055661816,2.88358718615,49.000006,2845283.36206,2.898376
1984-01-23,2.9242534495,2.94273958389,2.90577009519,49.625008,4158881.48344,2.935345
1984-01-24,2.95382816404,2.972314,2.93534457579,50.250014,4945012.23458,2.972314
1984-01-25,3.01297800579,3.03146413812,2.99449471269,50.750008,4108163.87415,3.001889
1984-01-26,3.00188890054,3.00928348336,2.96491971294,50.250014,3590839.65341,2.972314
1984-01-27,2.97231380978,2.97231380978,2.93534438795,49.999994,3093802.72424,2.957525
1984-01-30,2.942739,2.95013074319,2.93534441758,49.750021,1688911.96192,2.942739
1984-01-31,2.9427398222,3.03146472127,2.9427398222,50.499992,5954300.56848,2.987101
1984-02-01,2.98710016541,3.01667506435,2.93534441758,49.750021,3808927.57778,2.942739
1984-02-02,2.94273915693,2.95013090052,2.920556,49.374992,3900219.90826,2.920556
1984-02-03,2.95752502986,2.98710016541,2.92795013092,49.750021,5406547.00121,2.942739
1984-02-06,2.89467829356,2.93534474534,2.85401184177,48.625021,1141156.6036,2.876195
1984-02-07,2.839226,2.86140661855,2.81704289713,48.000014,3590838.83199,2.839226
1984-02-08,2.83922567192,2.89098119179,2.81704257161,48.249992,6679569.61611,2.854012
1984-02-09,2.85401232979,2.8688009073,2.82443718589,48.000014,3322033.10022,2.839226
1984-02-10,2.83922551451,2.876195,2.83922551451,48.625021,3930650.52352,2.876195
1984-02-13,2.87619558475,2.89837614486,2.868801,48.500008,5477550.58368,2.868801
1984-02-14,2.86880094795,2.927951,2.86140665909,49.5,2282312.78461,2.927951
1984-02-15,2.92795028873,2.98710032641,2.91316141885,50.250014,9190115.04518,2.972314
1984-02-16,2.97231476168,3.03885910348,2.95752594716,50.999986,6121669.9873,3.016676
1984-02-17,3.01667551902,3.0240698068,2.96492,50.125006,11061610.9122,2.96492
1984-02-21,2.96492014141,2.97970617421,2.935345,49.625008,1825850.40736,2.935345
1984-02-22,2.93534490808,2.95013123616,2.854012,48.249992,3337248.90463,2.854012
1984-02-23,2.85401214196,2.86140643023,2.78746780637,47.749994,7881587.44656,2.824437
1984-02-24,2.82443718589,2.85401232979,2.80965115185,48.000014,1125940.98969,2.839226
1984-02-27,2.83922551451,2.876195,2.78746751319,48.625021,10366773.7678,2.876195
1984-02-28,2.85031506711,2.8688009073,2.81704289713,48.000014,4975441.94094,2.839226
1984-02-29,2.83922567192,2.89098119179,2.83183138401,48.249992,3550264.79216,2.854012
1984-03-01,2.824437,2.83922581314,2.80965096693,47.749994,4625487.61343,2.824437
1984-03-02,2.82443713598,2.92795090678,2.82443713598,49.000006,3474187.3494,2.898376
1984-03-05,2.89837571629,2.91316174862,2.83922567192,48.249992,9007528.95839,2.854012
1984-03-06,2.85401214196,2.8688007185,2.824437,47.749994,3687203.3936,2.824437
1984-03-07,2.8244367741,2.8244367741,2.780073,46.999979,2546047.11365,2.780073
1984-03-08,2.78007322235,2.824437,2.78007322235,47.749994,2043938.05725,2.824437
1984-03-09,2.81750708623,2.83257233989,2.802439,46.499986,6336746.18909,2.802439
1984-03-12,2.80243930319,2.82504131444,2.727107,45.250021,7093371.83231,2.727107
1984-03-13,2.76100766128,2.78737392387,2.73463850585,46.125,4649269.38241,2.77984
1984-03-14,2.74593908188,2.77230564168,2.71957252208,45.499994,5440741.14702,2.742172
1984-03-15,2.74217235442,2.77983992367,2.72710709859,45.999992,5948476.5145,2.772306
1984-03-16,2.86270922548,2.8928425716,2.83257292624,47.375008,3827931.50879,2.855175
1984-03-19,2.81374008193,2.84764056484,2.77983959901,46.624994,3255484.59818,2.809973
1984-03-20,2.83257270314,2.862709,2.80243935939,47.500021,3778153.76334,2.862709
1984-03-21,2.86270964941,2.892843,2.86270964941,48.000014,1498318.87323,2.892843
1984-03-22,2.89284234375,2.91544182423,2.862709,47.500021,2080722.36242,2.862709
1984-03-23,2.86270907255,2.88530849333,2.840107,47.124992,851204.581236,2.840107
1984-03-26,2.840107,2.85517484747,2.82504144269,47.124992,1254406.75129,2.840107
1984-03-27,2.84010722567,2.84764115001,2.80997357743,46.999979,8755957.54048,2.832573
1984-03-28,2.832573,2.84764115001,2.82504166717,46.999979,1617786.35626,2.832573
1984-03-29,2.83257233989,2.84764048639,2.802439,46.499986,2075744.82392,2.802439
1984-03-30,2.80243998786,2.80243998786,2.734639,45.374986,3449617.87987,2.734639
1984-04-02,2.75724101678,2.77984050232,2.734639,45.374986,4201266.22022,2.734639
1984-04-03,2.73463889428,2.76477224363,2.681906,44.500006,1752186.92736,2.681906
1984-04-04,2.68190609147,2.70450557691,2.666838,44.249986,4674157.58145,2.666838
1984-04-05,2.66683789398,2.68190598486,2.614105,43.375006,4813536.27364,2.614105
1984-04-06,2.61410464644,2.61410464644,2.57643707612,42.875008,1090139.17943,2.583971
1984-04-09,2.58397084687,2.60657032702,2.54630351986,42.624992,3574063.82288,2.568903
1984-04-10,2.59150514866,2.60657040448,2.576437,42.75,960716.29153,2.576437
1984-04-11,2.59150566634,2.599037,2.58397143984,43.124986,1438585.24761,2.599037
1984-04-12,2.59903645803,2.704505,2.5538374968,44.874992,6187411.19606,2.704505
1984-04-13,2.704505,2.72710707212,2.704505,44.874992,2259923.31698,2.704505
1984-04-16,2.66683793143,2.7007384251,2.64423850633,29.625,839589.543336,2.678139
1984-04-17,2.6781385125,2.73463842099,2.6781385125,30.0,1516571.11126,2.712039
1984-04-18,2.71203906679,2.73463848833,2.700738,29.87499,617247.745616,2.700738
1984-04-19,2.70073793349,2.73463842099,2.70073793349,30.0,1237814.05798,2.712039
1984-04-23,2.712039,2.712039,2.644238025,30.0,813041.405378,2.712039
1984-04-24,2.71203950617,2.77984049383,2.71203950617,30.375,2057492.15205,2.74594
1984-04-25,2.79114064712,2.82504112983,2.75724016441,30.99999,2037581.60588,2.802439
1984-04-26,2.80243986321,2.84764142475,2.76853937005,31.25001,2249967.26916,2.825042
1984-04-27,2.82504157862,2.8815414881,2.80243944519,31.5,2286471.50396,2.847641
1984-04-30,2.84764093355,2.87024035441,2.8250415127,31.62501,982286.764824,2.858942
1984-05-01,2.85894215582,2.904141,2.84764108876,32.12499,2488902.14008,2.904141
1984-05-02,2.9888922447,3.0058424894,2.971942,32.87499,1526526.63477,2.971942
1984-05-03,2.971942,3.0058424894,2.94934257775,32.87499,1237813.98863,2.971942
1984-05-04,2.97194190994,2.97194190994,2.9041409332,32.25,1131620.86572,2.915442
1984-05-07,2.915442,2.96064355518,2.915442,32.25,527647.265835,2.915442
1984-05-08,2.96064306493,2.98324248276,2.93804093507,32.625,3663664.64113,2.949342
1984-05-09,2.94934290421,2.94934290421,2.80243986321,31.25001,3209024.11398,2.825042
1984-05-10,2.825042,2.85894249315,2.80243986321,31.25001,3129379.25489,2.825042
1984-05-11,2.76289016373,2.80243983466,2.66683786344,29.75001,3019867.60441,2.68944
1984-05-14,2.66118817704,2.67813842021,2.64423793388,29.37501,2668103.31613,2.655539
1984-05-15,2.65553909151,2.72334006651,2.65553909151,30.0,2747748.09654,2.712039
1984-05-16,2.71203906679,2.71203906679,2.67813857846,29.87499,1261043.78137,2.700738
1984-05-17,2.70073849454,2.7120395634,2.65553964318,29.49999,2080721.85825,2.666838
1984-05-18,2.66683751167,2.71203906679,2.66683751167,29.87499,693574.079752,2.700738
1984-05-21,2.70073784042,2.70073784042,2.655539,29.37501,6885963.1604,2.655539
1984-05-22,2.61033791669,2.63293734096,2.48603701515,28.25001,1168124.62498,2.553838
1984-05-23,2.5538380547,2.58773854785,2.474736,27.375,2445760.88116,2.474736
1984-05-24,2.51993713295,2.64423801601,2.48603664556,27.62499,44468387.2208,2.497335
1984-05-25,2.49733535605,2.53123584826,2.45213650778,27.50001,2545317.02505,2.486037
1984-05-29,2.48603712516,2.49733548177,2.35043514946,26.49999,2405938.39668,2.395634
1984-05-30,2.26003193181,2.37303447761,2.23743250746,25.125,11760891.0715,2.271333
1984-05-31,2.27133238494,2.28263345007,2.12442938638,24.12501,4300823.6332,2.180932
1984-06-01,2.18093206547,2.20353148438,2.12442945015,24.0,8196785.53634,2.169631
1984-06-04,2.26003151373,2.35043461847,2.2148326734,25.37499,6467827.57859,2.293932
1984-06-05,2.29393242435,2.31653456073,2.23743250746,25.125,59405110.3471,2.271333
1984-06-06,2.27133245021,2.316534,2.27133245021,25.62501,4045296.18689,2.316534
1984-06-07,2.316534,2.32783235342,2.29393186909,25.62501,10008706.5625,2.316534
1984-06-08,2.32783286413,2.350435,2.30523344029,26.00001,7831744.79618,2.350435
1984-06-11,2.34719682752,2.34719682752,2.26626082399,24.75,2150260.87792,2.289385
1984-06-12,2.26626,2.26626,2.19688472219,24.50001,7475645.74012,2.26626
1984-06-13,2.27782117243,2.30094811988,2.24313352628,24.375,4589169.85298,2.254697
1984-06-14,2.24313364804,2.24313364804,2.17375835196,23.87499,6645377.04476,2.208446
1984-06-15,2.220009,2.25469664063,2.19688483125,24.0,3875659.96354,2.220009
1984-06-18,2.24313375098,2.335636,2.22000957623,25.25001,2542691.7345,2.335636
1984-06-19,2.33563535988,2.3818836967,2.32407188817,25.62501,1845397.95083,2.370323
1984-06-20,2.34719607866,2.451259,2.32407191003,26.49999,3677822.94649,2.451259
1984-06-21,2.45125888981,2.52063416759,2.42813472222,27.0,4592414.04439,2.49751
1984-06-22,2.47438665036,2.47438665036,2.42813552488,26.37501,1936207.82359,2.439699
1984-06-25,2.416572,2.46282312453,2.40501130013,26.12499,1339453.68108,2.416572
1984-06-26,2.39344747318,2.39344747318,2.37032330183,25.74999,3749173.56681,2.381884
1984-06-27,2.35876017475,2.3818843495,2.32407252512,25.25001,1086481.79982,2.335636
1984-06-28,2.33563564435,2.33563564435,2.26626035565,24.87501,2117829.02482,2.300948
1984-06-29,2.20844552812,2.25469664063,2.1737578875,24.0,7832400.67946,2.220009
1984-07-02,2.22000935385,2.27782117243,2.19688518141,24.375,5756732.50109,2.254697
1984-07-03,2.27782140061,2.35876017475,2.27782140061,25.25001,5708083.48561,2.335636
1984-07-05,2.33563535988,2.370323,2.33563535988,25.62501,950266.431621,2.370323
1984-07-06,2.34719669987,2.35876017475,2.32407252512,25.25001,1212967.74069,2.335636
1984-07-09,2.32407191003,2.451259,2.32407191003,26.49999,1725398.41934,2.451259
1984-07-10,2.439699,2.47438665036,2.40501134964,26.37501,2568637.51471,2.439699
1984-07-11,2.42813547488,2.43969894977,2.40501130013,26.12499,3830253.74663,2.416572
1984-07-12,2.41657164454,2.41657164454,2.34719635546,25.74999,1148103.32409,2.381884
