,0,1,2,3,Trade Price
1983-12-30,-0.30045664052,-0.0291356594575,0.039325704768,-0.0428445795256,2.602623
1984-01-03,-0.300327691044,-0.0283491412635,0.0399372506131,-0.0321793926981,2.602623
1984-01-04,-0.298599766983,-0.0330485720547,0.0523959035775,-0.0380548207593,2.713529
1984-01-05,-0.296577939636,-0.036492276658,0.0625115961697,-0.0350511916911,2.802256
1984-01-06,-0.297007064465,-0.036466272175,0.058274011876,-0.0441326766786,2.772681
1984-01-09,-0.296830158408,-0.0368626404491,0.0590683520233,-0.0427797210894,2.780073
1984-01-10,-0.29594188955,-0.0393982211959,0.0646273991264,-0.0473283037846,2.831831
1984-01-11,-0.294810977014,-0.0409530626118,0.0720938479758,-0.0317362616396,2.890981
1984-01-12,-0.294047016941,-0.0430934151805,0.0747326624176,-0.037873313744,2.920556
1984-01-13,-0.293152632688,-0.0428788859203,0.0770328088294,-0.0198563679397,2.935345
1984-01-16,-0.294187618136,-0.0444411019724,0.0716659764658,-0.0496308864386,2.90577
1984-01-17,-0.295073201017,-0.0424305564994,0.0657528555994,-0.0476451645803,2.854012
1984-01-18,-0.293086798638,-0.0394574924801,0.077725800195,0.026984955036,2.920556
1984-01-19,-0.293878213944,-0.0446729180433,0.0737018819666,-0.0409415401167,2.920556
1984-01-20,-0.294309009614,-0.0442421023468,0.0708334948454,-0.0455984664665,2.898376
1984-01-23,-0.293672678698,-0.0453470841,0.075356448454,-0.0408908809091,2.935345
1984-01-24,-0.292939267608,-0.0467898350278,0.0796205403575,-0.0380771009229,2.972314
1984-01-25,-0.29211291422,-0.0485213784404,0.0825368067979,-0.0411365112863,3.001889
1984-01-26,-0.292652138294,-0.0478899172614,0.0788098466011,-0.0429042922001,2.972314
1984-01-27,-0.293127206749,-0.0475851682443,0.0769802468274,-0.0446520786279,2.957525
1984-01-30,-0.293527080897,-0.0473249572759,0.0750500747181,-0.0497340375136,2.942739
1984-01-31,-0.292528067756,-0.0478336908029,0.0810638057598,-0.034322101896,2.987101
1984-02-01,-0.293089086477,-0.0466047201523,0.0754923514993,-0.0420584960243,2.942739
1984-02-02,-0.293717484825,-0.0453958504645,0.0732223769394,-0.0417364389881,2.920556
1984-02-03,-0.293220684467,-0.0454413568354,0.0763164155656,-0.0363600508018,2.942739
1984-02-06,-0.29478578049,-0.0435046394805,0.0681413048406,-0.0517653803529,2.876195
1984-02-07,-0.29559206075,-0.040508717124,0.0650159628669,-0.0429351131909,2.839226
1984-02-08,-0.295198740356,-0.0392543199057,0.0679510052568,-0.0318848533067,2.854012
1984-02-09,-0.295579833671,-0.0386862474258,0.0660777078062,-0.0441790859044,2.839226
1984-02-10,-0.295124959597,-0.0392643268409,0.0709161431399,-0.042125987204,2.876195
1984-02-13,-0.294879375989,-0.0380393980929,0.0706172620868,-0.0365966538492,2.868801
1984-02-14,-0.294342235009,-0.0410287950927,0.076930017702,-0.048286072884,2.927951
1984-02-15,-0.292947950262,-0.0411523121568,0.0832250960725,-0.0232854017475,2.972314
1984-02-16,-0.292174994006,-0.0443629784854,0.0872453665037,-0.0344116761519,3.016676
1984-02-17,-0.29236685573,-0.0416096477854,0.081857047754,-0.0163524341599,2.96492
1984-02-21,-0.293573132284,-0.0431935170677,0.0764619711932,-0.0497607986663,2.935345
1984-02-22,-0.294842813342,-0.0393155520585,0.0676072035422,-0.0441600831014,2.854012
1984-02-23,-0.295652118692,-0.0362047920411,0.0657325657358,-0.0277006745088,2.824437
1984-02-24,-0.295922926688,-0.037773164659,0.0665705149785,-0.052349427357,2.839226
1984-02-27,-0.294968709408,-0.0361904170988,0.0730848710904,-0.0189422452723,2.876195
1984-02-28,-0.295603123612,-0.0357073032115,0.0679447297705,-0.0385357241611,2.839226
1984-02-29,-0.295452008445,-0.0361670686786,0.0696509593821,-0.0437985179095,2.854012
1984-03-01,-0.296006789017,-0.0342648067121,0.0667778590702,-0.0399164500998,2.824437
1984-03-02,-0.29492865444,-0.0372332634943,0.0751921802806,-0.0442206170792,2.898376
1984-03-05,-0.294915676921,-0.0339495865762,0.0711528693153,-0.0241203556534,2.854012
1984-03-06,-0.295858420044,-0.0339555449025,0.0668616587008,-0.0434089074036,2.824437
1984-03-07,-0.296793883174,-0.0319785660137,0.0618933864269,-0.0475419348881,2.780073
1984-03-08,-0.296460706659,-0.0333774763844,0.0672635203044,-0.0494832166468,2.824437
1984-03-09,-0.29656783723,-0.0291568085234,0.0595252328618,-0.0338679879892,2.802439
1984-03-12,-0.29768981343,-0.0253837720511,0.0515749988459,-0.0310722108123,2.727107
1984-03-13,-0.297457809173,-0.0274403061007,0.0575160997806,-0.0401016730027,2.77984
1984-03-14,-0.297989602689,-0.0252870428936,0.0537153563234,-0.0372409770351,2.742172
1984-03-15,-0.297600707344,-0.0258959393196,0.0574935207838,-0.0355008596061,2.772306
1984-03-16,-0.295776694658,-0.0297457959573,0.0661810922685,-0.043352102816,2.855175
1984-03-19,-0.296738043005,-0.0286369444687,0.0607362357185,-0.0452746604138,2.809973
